question,answer,language,category
What is Python?,"Python is a high-level, interpreted programming language known for its easy readability and large standard library.",english,python_basic
Define a variable in Python.,"A variable in Python is created when you assign a value to it, like x = 5. It is just a name that refers to a value in memory.",english,python_basic
What is a list in Python?,"A list is a mutable, ordered collection of items in Python, defined using square brackets, for example: [1, 2, 3].",english,python_basic
What is a dictionary in Python?,"A dictionary is an unordered collection of key-value pairs, defined using curly braces, for example: {'name': 'Ali'}",english,python_basic
Explain the difference between a list and a tuple.,"Lists are mutable (can be changed), while tuples are immutable (cannot be changed after creation).",english,python_basic
What is a function in Python?,"A function is a block of reusable code that performs a specific task and is defined using def.",english,python_basic
What is a loop?,"A loop is a control structure that repeats a block of code as long as a condition is true (for or while).",english,python_basic
What is an if statement?,"An if statement is a conditional statement that executes a block of code only if a given condition is true.",english,python_basic
What is a string in Python?,"A string is a sequence of characters enclosed in quotes, for example 'hello' or \"world\".",english,python_basic
How do you print text in Python?,"Use the print() function, for example: print('Hello').",english,python_basic
ما هو بايثون؟,"بايثون لغة برمجة عالية المستوى، سهلة القراءة، وتوفر مكتبة قياسية ضخمة تدعم العديد من الاستخدامات.",arabic,python_basic
ما هي المتغيرات في بايثون؟,"المتغير هو اسم يُستخدم للإشارة إلى قيمة مخزّنة في الذاكرة، مثل x = 5.",arabic,python_basic
ما هي القائمة في بايثون؟,"القائمة list هي مجموعة مرتّبة يمكن تعديلها، وتكتب بين أقواس مربعة مثل [1, 2, 3].",arabic,python_basic
ما هي القاموس dict في بايثون؟,"القاموس هو هيكل بيانات يخزن أزواج مفتاح-قيمة، ويكتب بين {} مثل {'name': 'مُنير'}.",arabic,python_basic
كيف نطبع نصًا في بايثون؟,"نستخدم الدالة print() مثلًا: print('مرحبا').",arabic,python_basic
ما الفرق بين list و tuple؟,"القائمة list قابلة للتعديل، أما tuple فهي غير قابلة للتعديل بعد إنشائها.",arabic,python_basic
What is a data type in Python?,"A data type defines the kind of value a variable holds, like int, float, str, or bool.",english,python_basic
How do you create a list in Python?,"You create a list with square brackets, for example: numbers =.",english,python_basic​
What is a dictionary in Python?,"A dictionary is a collection of key-value pairs, for example: user = {'name': 'Ali', 'age': 20}.",english,python_basic
What is a tuple in Python?,"A tuple is an ordered, immutable sequence, for example: point = (3, 4).",english,python_basic
What is a set in Python?,"A set is an unordered collection of unique elements, for example: s = {1, 2, 3}.",english,python_basic
How do you write an if statement in Python?,"Use if with a condition, for example: if x > 0: print('positive').",english,python_basic
What is the purpose of elif in Python?,"elif lets you check another condition if the previous if was False.",english,python_basic
How do you write a for loop in Python?,"Use for to iterate over a sequence, for example: for x in: print(x).",english,python_basic​
How do you write a while loop in Python?,"Use while with a condition, for example: while x < 10: x += 1.",english,python_basic
What is a function in Python?,"A function is a reusable block of code defined with def, for example: def add(a, b): return a + b.",english,python_basic
How do you call a function in Python?,"Write the function name followed by parentheses, for example: result = add(2, 3).",english,python_basic
What is the return statement used for?,"return sends a value back from a function, ending its execution.",english,python_basic
How do you handle errors with try and except?,"Wrap risky code in try and handle errors in except, for example: try: x = 1/0; except ZeroDivisionError: print('error').",english,python_basic
What does the import keyword do in Python?,"import loads a module so you can use its functions, for example: import math.",english,python_basic
How do you access a list element by index?,"Use square brackets with the index, for example: items gets the first element.",english,python_basic
ما هي أنواع البيانات الأساسية في بايثون؟,"من أنواع البيانات الأساسية: int للأعداد الصحيحة، float للأعداد العشرية، str للنصوص، bool للقيم المنطقية True و False.",arabic,python_basic
كيف تنشئ قائمة في بايثون؟,"يمكن إنشاء قائمة باستخدام الأقواس المربعة مثل numbers =.",arabic,python_basic​
ما هي القاموس (dictionary) في بايثون؟,"القاموس هو بنية بيانات تخزن أزواج مفتاح وقيمة مثل user = {'name': 'Ali', 'age': 20}.",arabic,python_basic
ما هو الـ tuple في بايثون؟,"الـ tuple تسلسل مرتب وغير قابل للتغيير مثل point = (3, 4).",arabic,python_basic
ما هي المجموعة (set) في بايثون؟,"المجموعة هي تجميعة غير مرتبة من العناصر الفريدة مثل s = {1, 2, 3}.",arabic,python_basic
كيف تكتب جملة if في بايثون؟,"نستخدم if مع شرط مثل if x > 0: print('positive').",arabic,python_basic
ما فائدة elif في بايثون؟,"نستخدم elif لفحص شرط آخر إذا كان شرط if السابق خاطئًا.",arabic,python_basic
كيف تكتب حلقة for في بايثون؟,"نستخدم for للتكرار على تسلسل مثل for x in: print(x).",arabic,python_basic​
كيف تكتب حلقة while في بايثون؟,"نستخدم while مع شرط مثل while x < 10: x += 1.",arabic,python_basic
ما هي الدالة (function) في بايثون؟,"الدالة كتلة كود قابلة لإعادة الاستخدام تُعرّف بالكلمة def مثل def add(a, b): return a + b.",arabic,python_basic
كيف تستدعي دالة في بايثون؟,"نكتب اسم الدالة متبوعًا بأقواس مثل result = add(2, 3).",arabic,python_basic
ما فائدة return داخل الدالة؟,"return تعيد قيمة من الدالة وتُنهي تنفيذها.",arabic,python_basic
كيف تتعامل مع الأخطاء باستخدام try و except؟,"نضع الكود المحتمل أن يسبب خطأ داخل try ونعالج الخطأ داخل except مثل try: x = 1/0; except ZeroDivisionError: print('error').",arabic,python_basic
ما وظيفة كلمة import في بايثون؟,"نستخدم import لاستيراد مكتبة أو وحدة برمجية مثل import math.",arabic,python_basic
What is the type() function used for in Python?,"type() returns the data type of a value or variable, for example: type(5) returns <class 'int'>.",english,python_basic
How do you create a string in Python?,"You create a string with quotes, for example: name = 'Ali' or message = "Hello".",english,python_basic
What is list indexing in Python?,"List indexing means accessing elements by position, for example: nums returns the first element.",english,python_basic
How do you add an element to a list?,"Use append(), for example: nums.append(10).",english,python_basic
How do you remove an element from a list by value?,"Use remove(), for example: nums.remove(3).",english,python_basic
How do you remove an element from a list by index?,"Use pop(index), for example: nums.pop(0) removes the first element.",english,python_basic
How do you access a value in a dictionary?,"Use its key, for example: user['name'].",english,python_basic
How do you check if a key exists in a dictionary?,"Use the in operator, for example: 'name' in user.",english,python_basic
What does len() do in Python?,"len() returns the number of items in a sequence like a list or string.",english,python_basic
What is indentation used for in Python?,"Indentation defines code blocks, like the body of if, for, while, and functions.",english,python_basic
How do you write a simple comment in Python?,"Use the hash symbol #, for example: # this is a comment.",english,python_basic
How do you import a specific function from a module?,"Use from module import func, for example: from math import sqrt.",english,python_basic
How do you convert a string to an integer in Python?,"Use int(), for example: age = int('25').",english,python_basic
How do you handle any kind of exception in Python?,"Use a bare except, for example: try: x = 1/0; except Exception as e: print(e).",english,python_basic
How do you loop over dictionary keys and values?,"Use items(), for example: for k, v in user.items(): print(k, v).",english,python_basic
ما وظيفة الدالة type() في بايثون؟,"الدالة type() تعيد نوع البيانات لقيمة أو متغير مثل type(5) تعيد <class 'int'>.",arabic,python_basic
كيف تنشئ سلسلة نصية (string) في بايثون؟,"يمكن إنشاء نص باستخدام علامات الاقتباس مثل name = 'Ali' أو message = "Hello".",arabic,python_basic
ما هو فهرسة القوائم (list indexing) في بايثون؟,"فهرسة القوائم هي الوصول للعناصر حسب موقعها مثل nums تعطي أول عنصر.",arabic,python_basic
كيف تضيف عنصرًا إلى قائمة في بايثون؟,"نستخدم الدالة append() مثل nums.append(10).",arabic,python_basic
كيف تحذف عنصرًا من القائمة باستخدام قيمته؟,"نستخدم remove() مثل nums.remove(3).",arabic,python_basic
كيف تحذف عنصرًا من القائمة باستخدام موقعه (الفهرس)؟,"نستخدم pop(index) مثل nums.pop(0) لحذف أول عنصر.",arabic,python_basic
كيف تصل إلى قيمة في قاموس (dictionary)؟,"نستخدم المفتاح مثل user['name'].",arabic,python_basic
كيف تتحقق من وجود مفتاح في قاموس؟,"نستخدم العامل in مثل 'name' in user.",arabic,python_basic
ما وظيفة الدالة len() في بايثون؟,"الدالة len() تعيد عدد العناصر في تسلسل مثل قائمة أو سلسلة نصية.",arabic,python_basic
لِماذا تُستخدم المسافة البادئة (indentation) في بايثون؟,"تُستخدم لتحديد كتل الكود مثل جسم if و for و while والدوال.",arabic,python_basic
كيف تكتب تعليقًا في بايثون؟,"نستخدم الرمز # مثل # هذا تعليق.",arabic,python_basic
كيف تستورد دالة محددة من مكتبة؟,"نستخدم from module import func مثل from math import sqrt.",arabic,python_basic
كيف تحوّل نصًا إلى عدد صحيح في بايثون؟,"نستخدم int() مثل age = int('25').",arabic,python_basic
كيف تتعامل مع أي استثناء (خطأ) في بايثون؟,"نستخدم except عامّة مثل try: x = 1/0; except Exception as e: print(e).",arabic,python_basic
What is an integer (int) in Python?,"An int is a whole number without a decimal point, for example: x = 10.",english,python_basic
What is a float in Python?,"A float is a number with a decimal point, for example: price = 10.5.",english,python_basic
What is a string (str) in Python?,"A string is a sequence of characters inside quotes, for example: name = 'Ali'.",english,python_basic
What is a boolean (bool) in Python?,"A bool represents True or False values, often used in conditions.",english,python_basic
How do you assign a value to a variable in Python?,"Use =, for example: x = 5 or message = 'Hello'.",english,python_basic
What is the difference between int and float in Python?,"int stores whole numbers like 3, while float stores decimal numbers like 3.14.",english,python_basic
How do you check the type of a variable in Python?,"Use the type() function, for example: type(x).",english,python_basic
What is dynamic typing in Python?,"Dynamic typing means a variable can reference values of different types at different times.",english,python_basic
How do you convert a string to an integer in Python?,"Use int(), for example: age = int('25').",english,python_basic
How do you convert an integer to a string in Python?,"Use str(), for example: text = str(42).",english,python_basic
What is a list in Python?,"A list is an ordered, mutable collection, for example: nums =.",english,python_basic​
How do you access the first element of a list?,"Use index 0, for example: nums.",english,python_basic​
How do you add an item to the end of a list?,"Use append(), for example: nums.append(4).",english,python_basic​
How do you remove an item by value from a list?,"Use remove(), for example: nums.remove(2).",english,python_basic​
How do you get the length of a list?,"Use len(), for example: len(nums).",english,python_basic​
What is a dictionary in Python?,"A dictionary stores key-value pairs, for example: user = {'name':'Ali','age':20}.",english,python_basic​
How do you access a value from a dictionary by key?,"Use square brackets, for example: user['name'].",english,python_basic​
How do you add a new key-value pair to a dictionary?,"Assign to a new key, for example: user['city'] = 'Blida'.",english,python_basic​
How do you loop over keys and values in a dictionary?,"Use items(), for example: for k,v in user.items(): print(k,v).",english,python_basic​
How do you check if a key exists in a dictionary?,"Use in, for example: 'name' in user.",english,python_basic​
What is a tuple in Python?,"A tuple is an ordered, immutable sequence, for example: point = (1,2).",english,python_basic​
What is a set in Python?,"A set is an unordered collection of unique items, for example: s = {1,2,3}.",english,python_basic​
What is the difference between a list and a tuple?,"A list is mutable and uses [], a tuple is immutable and uses ().",english,python_basic​
What is the difference between a list and a set?,"A list keeps order and allows duplicates, a set is unordered and stores unique elements.",english,python_basic​
How do you create a set from a list?,"Use set(), for example: s = set().",english,python_basic​
How do you write a basic for loop in Python?,"Use for with a sequence, for example: for x in: print(x).",english,python_basic​
How do you write a basic while loop in Python?,"Use while with a condition, for example: while x < 5: x += 1.",english,python_basic​
How do you break out of a loop in Python?,"Use break to exit the nearest loop immediately.",english,python_basic​
How do you skip one iteration in a loop in Python?,"Use continue to skip to the next iteration of the loop.",english,python_basic​
What is a simple if statement in Python?,"Use if with a condition, for example: if x > 0: print('positive').",english,python_basic​
How do you add an else block to an if statement?,"Use else to run code when the if condition is False.",english,python_basic​
What is elif used for in Python?,"elif adds another condition after an if when the first condition is False.",english,python_basic​
How do you write a chained if-elif-else structure?,"Use multiple conditions, for example: if x>0: ... elif x==0: ... else: ....",english,python_basic​
How do you define a function in Python?,"Use def, for example: def add(a,b): return a+b.",english,python_basic​
How do you call a function in Python?,"Write its name with parentheses, for example: result = add(2,3).",english,python_basic​
What is a parameter in a Python function?,"A parameter is a variable in the function definition that receives a value.",english,python_basic​
What is a return value in a function?,"It is the value sent back by the function using return.",english,python_basic​
What are *args in Python functions?,"*args collects extra positional arguments into a tuple, for example: def f(*args): print(args).",english,python_basic​
What are **kwargs in Python functions?,"**kwargs collects extra keyword arguments into a dictionary, for example: def f(**k): print(k).",english,python_basic​
When should you use *args?,"Use args when you do not know how many positional arguments will be passed.",english,python_basic​
When should you use **kwargs?,"Use **kwargs when you want to accept flexible named arguments.",english,python_basic​
How do you write a try-except block in Python?,"Use try for risky code and except for handling errors, for example: try: x=1/0; except ZeroDivisionError: print('error').",english,python_basic​
What is the purpose of finally in exception handling?,"finally defines code that runs whether an exception occurs or not.",english,python_basic​
How do you catch any exception in Python?,"Use except Exception as e: to catch most errors.",english,python_basic​
How do you import a whole module in Python?,"Use import, for example: import math.",english,python_basic​
How do you import a specific function from a module?,"Use from module import name, for example: from math import sqrt.",english,python_basic​
What is the difference between import module and from module import name?,"import module requires module.name, while from module import name lets you use name directly.",english,python_basic​
What are comparison operators in Python?,"They compare values, for example: ==, !=, <, >, <=, >=.",english,python_basic​
What are logical operators in Python?,"Logical operators and, or, not combine or negate conditions.",english,python_basic​
How do you check if two values are equal in Python?,"Use ==, for example: x == y.",english,python_basic​
What is a string in Python?,"A string is text inside quotes, for example: s = 'Hello'.",english,python_basic​
How do you concatenate two strings in Python?,"Use +, for example: 'Hello ' + 'World'.",english,python_basic​
How do you get a substring using slicing?,"Use [start:end], for example: s[0:3].",english,python_basic​
What is a list comprehension in Python?,"It is a compact way to build lists, for example: [x2 for x in nums].",english,python_basic​
How do you filter items in a list comprehension?,"Add an if condition, for example: [x for x in nums if x>0].",english,python_basic​
How do you open a file for reading in Python?,"Use open with mode 'r', for example: f = open('data.txt','r').",english,python_basic​
How do you open a file for writing in Python?,"Use mode 'w', for example: f = open('out.txt','w').",english,python_basic​
How do you read all text from a file?,"Use read(), for example: content = f.read().",english,python_basic​
ما هو العدد الصحيح int في بايثون؟,"int هو عدد كامل بدون فاصلة عشرية مثل x = 10.",arabic,python_basic
ما هو العدد العشري float في بايثون؟,"float هو عدد يحتوي على فاصلة عشرية مثل price = 10.5.",arabic,python_basic
ما هي السلسلة النصية str في بايثون؟,"str هي نص داخل علامات اقتباس مثل name = 'Ali'.",arabic,python_basic
ما هي القيمة المنطقية bool في بايثون؟,"bool نوع يمثل القيمتين True و False ويستخدم في الشروط.",arabic,python_basic
كيف تعرّف متغيرًا في بايثون؟,"نستخدم علامة = مثل x = 5 أو message = 'Hello'.",arabic,python_basic
ما الفرق بين int و float في بايثون؟,"int يمثل أعدادًا صحيحة مثل 3 و float يمثل أعدادًا عشرية مثل 3.14.",arabic,python_basic
كيف تتحقق من نوع متغير في بايثون؟,"نستخدم الدالة type() مثل type(x).",arabic,python_basic
كيف تحوّل نصًا إلى عدد صحيح في بايثون؟,"نستخدم int() مثل age = int('25').",arabic,python_basic
كيف تحوّل عددًا إلى نص في بايثون؟,"نستخدم str() مثل text = str(42).",arabic,python_basic
ما هي القائمة list في بايثون؟,"القائمة تجميعة مرتبة وقابلة للتعديل مثل nums =.",arabic,python_basic​
كيف تصل إلى أول عنصر في قائمة؟,"نستخدم الفهرس 0 مثل nums.",arabic,python_basic​
كيف تضيف عنصرًا إلى نهاية قائمة؟,"نستخدم append() مثل nums.append(4).",arabic,python_basic​
كيف تحذف عنصرًا من القائمة باستخدام قيمته؟,"نستخدم remove() مثل nums.remove(2).",arabic,python_basic​
كيف تعرف عدد عناصر قائمة في بايثون؟,"نستخدم الدالة len() مثل len(nums).",arabic,python_basic​
ما هو القاموس dictionary في بايثون؟,"القاموس بنية بيانات تخزن أزواج مفتاح وقيمة مثل user = {'name':'Ali','age':20}.",arabic,python_basic​
كيف تصل إلى قيمة في قاموس باستخدام المفتاح؟,"نستخدم الأقواس المربعة مثل user['name'].",arabic,python_basic​
كيف تضيف زوج مفتاح وقيمة جديدًا إلى قاموس؟,"نُسند قيمة لمفتاح جديد مثل user['city'] = 'Blida'.",arabic,python_basic​
كيف تتكرّر على المفاتيح والقيم في قاموس؟,"نستخدم items() مثل for k,v in user.items(): print(k,v).",arabic,python_basic​
كيف تتحقق من وجود مفتاح في قاموس؟,"نستخدم العامل in مثل 'name' in user.",arabic,python_basic​
ما هو الـ tuple في بايثون؟,"tuple تسلسل مرتب وغير قابل للتغيير مثل point = (1,2).",arabic,python_basic​
ما هي المجموعة set في بايثون؟,"set مجموعة غير مرتبة من عناصر فريدة مثل s = {1,2,3}.",arabic,python_basic​
ما الفرق بين القائمة list و الـ tuple؟,"القائمة قابلة للتعديل وتستخدم [] بينما الـ tuple ثابت ويستخدم ().",arabic,python_basic​
ما الفرق بين القائمة list والمجموعة set؟,"القائمة مرتبة وتسمح بالتكرار، المجموعة غير مرتبة وتحتفظ بعناصر فريدة.",arabic,python_basic​
كيف تنشئ مجموعة set من قائمة؟,"نستخدم set() مثل s = set().",arabic,python_basic​
كيف تكتب حلقة for بسيطة في بايثون؟,"نستخدم for مع تسلسل مثل for x in: print(x).",arabic,python_basic​
كيف تكتب حلقة while بسيطة في بايثون؟,"نستخدم while مع شرط مثل while x < 5: x += 1.",arabic,python_basic​
كيف تخرج من حلقة في بايثون؟,"نستخدم break للخروج من الحلقة فورًا.",arabic,python_basic​
كيف تتجاوز تكرارًا معينًا داخل الحلقة؟,"نستخدم continue لتخطي التكرار والانتقال للذي يليه.",arabic,python_basic​
ما هي جملة if في بايثون؟,"if تُستخدم لتنفيذ كود إذا تحقق شرط مثل if x > 0: print('positive').",arabic,python_basic​
كيف تضيف else إلى جملة if؟,"نستخدم else لتنفيذ كود عندما يكون شرط if غير محقق.",arabic,python_basic​
ما وظيفة elif في بايثون؟,"elif تُستخدم لفحص شرط إضافي بعد if عندما يكون الشرط الأول خاطئًا.",arabic,python_basic​
كيف تكتب بنية if و elif و else كاملة؟,"نستخدم if ثم elif ثم else مع شروط مناسبة.",arabic,python_basic​
كيف تعرّف دالة function في بايثون؟,"نستخدم def مثل def add(a,b): return a+b.",arabic,python_basic​
كيف تستدعي دالة في بايثون؟,"نكتب اسم الدالة متبوعًا بأقواس مثل result = add(2,3).",arabic,python_basic​
ما هو الوسيط parameter في الدالة؟,"هو متغير في تعريف الدالة يستقبل قيمة عند الاستدعاء.",arabic,python_basic​
ما هي القيمة المعادة من الدالة؟,"هي القيمة التي ترجعها الدالة باستخدام return.",arabic,python_basic​
ما هو *args في دوال بايثون؟,"*args يجمع الوسائط الموضعية الإضافية في tuple مثل def f(*args): print(args).",arabic,python_basic​
ما هو **kwargs في دوال بايثون؟,"**kwargs يجمع الوسائط المسماة الإضافية في قاموس مثل def f(**k): print(k).",arabic,python_basic​
متى نستخدم args في الدالة؟,"عندما لا نعرف عدد الوسائط الموضعية التي ستمُرّر للدالة.",arabic,python_basic​
متى نستخدم **kwargs في الدالة؟,"عندما نريد قبول عدد مرن من الوسائط المسماة.",arabic,python_basic​
كيف تكتب كتلة try و except في بايثون؟,"نضع الكود الخطِر داخل try ومعالجة الخطأ في except مثل try: x=1/0; except ZeroDivisionError: print('error').",arabic,python_basic​
ما دور finally في معالجة الأخطاء؟,"finally يحتوي كودًا يُنفّذ دائمًا سواء حدث استثناء أم لا.",arabic,python_basic​
كيف تلتقط أي استثناء في بايثون؟,"نستخدم except Exception as e: لمعظم الأخطاء.",arabic,python_basic​
كيف تستورد مكتبة كاملة في بايثون؟,"نستخدم import مثل import math.",arabic,python_basic​
كيف تستورد دالة محددة من مكتبة؟,"نستخدم from module import name مثل from math import sqrt.",arabic,python_basic​
ما الفرق بين import module و from module import name؟,"import module يتطلب module.name بينما from module import name يسمح باستخدام الاسم مباشرة.",arabic,python_basic​
ما هي معاملات المقارنة في بايثون؟,"هي رموز لمقارنة القيم مثل == و != و < و > و <= و >=.",arabic,python_basic​
ما هي العمليات المنطقية في بايثون؟,"and و or و not تُستخدم لدمج الشروط أو عكسها.",arabic,python_basic​
كيف تتحقق من تساوي قيمتين في بايثون؟,"نستخدم == مثل x == y.",arabic,python_basic​
ما هي السلسلة النصية string في بايثون؟,"هي نص داخل علامات اقتباس مثل s = 'Hello'.",arabic,python_basic​
كيف تدمج سلسلتين نصيتين في بايثون؟,"نستخدم العامل + مثل 'Hello ' + 'World'.",arabic,python_basic​
كيف تحصل على جزء من سلسلة نصية؟,"نستخدم التقطيع slicing مثل s[0:3].",arabic,python_basic​
ما هو list comprehension في بايثون؟,"هو طريقة مختصرة لإنشاء قائمة مثل [x2 for x in nums].",arabic,python_basic​
كيف تُصفّي العناصر داخل list comprehension؟,"نضيف شرط if مثل [x for x in nums if x>0].",arabic,python_basic​
كيف تفتح ملفًا للقراءة في بايثون؟,"نستخدم open مع النمط 'r' مثل f = open('data.txt','r').",arabic,python_basic​
كيف تفتح ملفًا للكتابة في بايثون؟,"نستخدم النمط 'w' مثل f = open('out.txt','w').",arabic,python_basic​
كيف تقرأ كل محتوى ملف نصي؟,"نستخدم read() مثل content = f.read().",arabic,python_basic

ما اسمك؟,"أنا مساعد افتراضي تم تصميمه لمساعدتك في الأسئلة والمحادثات العامة.",arabic,dialog_general